Bus ID,Route Title,Route Link,Travel Name,Coach,Start Time,Start Bus Stand,Duration,End Time,End Bus Stand,Date,Rating,Rate,Persons,Seats Left,Window
26361761,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,A/C Seater / Sleeper (2+1),22:30,Kalasipalyam,09h 00m,07:30,"18-Dec
Calicut",,4.6,800.0,544,19,0
18623079,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DLT BUS,A/C Sleeper (2+1),22:30,Madiwala,09h 00m,07:30,"18-Dec
MM Ali road",,4.3,1099.0,316,16,3 Single
24282990,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,Kalasipalyam,08h 15m,06:30,"18-Dec
Calicut",,4.2,900.0,122,32,6 Single
33238027,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,AdMMK Travels,A/C Sleeper (2+1),23:00,Kalasipalyam,08h 30m,07:30,"18-Dec
Calicut",,3.4,1100.0,43,21,5 Single
30430910,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SKS Tours & Travels,A/C Sleeper (2+1),21:15,Kalasipalyam,08h 30m,05:45,"18-Dec
Calicut/Kozhikode",,4.2,899.0,118,23,5 Single
19773309,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,Madiwala,10h 00m,09:00,"18-Dec
M M Ali Road (Calicut)",,4.0,799.0,344,36,17 Window
31808346,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,National travels and logistics,A/C Sleeper (2+1),22:45,Kalasipalyam,08h 15m,07:00,"18-Dec
Pavangad",,4.2,949.0,110,20,4 Single
32204911,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,AdFAST LINE BUS,A/C Sleeper (2+1),21:15,Madiwala,09h 00m,06:15,"18-Dec
Calicut",,4.5,2429.0,52,32,8 Single
17275374,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,Kalasipalyam,08h 25m,06:10,"18-Dec
Calicut",,4.0,899.0,274,28,10 Single
30808265,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SAAM BUS,VE A/C Sleeper (2+1),21:45,Lal Bagh,09h 00m,06:45,"18-Dec
Mavoor",,4.0,900.0,316,18,8 Single
11815858,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,P K Travels,A/C Sleeper (2+1),18:45,Jalahalli,11h 45m,06:30,"18-Dec
Calicut/Kozhikode",,4.1,1100.0,108,19,9 Single
