Government Bus Name,Route Title,Fare,Route Link
KSRTC (Kerala),Bangalore to Kozhikode,492,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala),Kozhikode to Bangalore,453,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala),Kozhikode to Ernakulam,219,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala),Ernakulam to Kozhikode,219,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala),Mysore to Kozhikode,286,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
KSRTC (Kerala),Kozhikode to Mysore,286,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala),Bangalore to Kannur (Kerala),575,https://www.redbus.in/bus-tickets/bangalore-to-kannur
KSRTC (Kerala),Kozhikode to Thrissur,174,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala),Bangalore to Kalpetta (kerala),395,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala),Kalpetta (kerala) to Bangalore,365,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
APSRTC,Hyderabad to Vijayawada,272,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC,Vijayawada to Hyderabad,362,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC,Hyderabad to Ongole,500,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
APSRTC,Chittoor (Andhra Pradesh) to Bangalore,186,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC,Kakinada to Visakhapatnam,217,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC,Ongole to Hyderabad,555,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
APSRTC,Bangalore to Tirupati,264,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC,Bangalore to Kadapa,335,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
APSRTC,Kadapa to Bangalore,335,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
APSRTC,Narasaraopet to Hyderabad,427,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC,Hyderabad to Narasaraopet,335,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet
APSRTC,Bangalore to Chittoor (Andhra Pradesh),170,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh
APSRTC,Tirupati to Bangalore,280,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore
APSRTC,Madanapalli to Bangalore,143,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore
APSRTC,Bangalore to Anantapur (andhra pradesh),250,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
APSRTC,Vinukonda to Hyderabad,435,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC,Visakhapatnam to Kakinada,250,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
APSRTC,Anantapur (andhra pradesh) to Bangalore,250,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore
APSRTC,Bangalore to Madanapalli,143,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli
APSRTC,Eluru to Hyderabad,537,https://www.redbus.in/bus-tickets/eluru-to-hyderabad
APSRTC,Guntur (Andhra Pradesh) to Hyderabad,373,https://www.redbus.in/bus-tickets/guntur-to-hyderabad
